"","chamber","icpsr","state_abbrev","party_code","bioname","born","died","gen","nominate_dim1","nominate_dim2","wing","region","total_vote","iso_num","oppo_per","first_cong","last_cong","congress_num","74","75","76","77","78","79","80","81","82","83","84","85","86","87","88","89","90","91","92","93","94","95","96","97","98","99","100","101","102"
"23","House",6004,"OH","Republican","MARSHALL, Leroy Tate",1883,"1950","lost",0.394,-0.165,"Center","Midwest",12,10,0.833333333333333,73,74,2,"0.833333333333333","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X"
"24","House",1188,"TX","Democrat","BUCHANAN, James Paul",1867,"1937","missionary",-0.481,0.048,"Center","Southwest",12,10,0.833333333333333,63,75,13,"0.818181818181818","1","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X"
"25","House",8253,"WI","Republican","SCHAFER, John Charles",1893,"1962","lost",0.294,0.798,"Right","Midwest",30,25,0.833333333333333,68,76,6,"X","X","0.833333333333333","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X"
"26","House",9214,"TN","Republican","TAYLOR, James Willis",1880,"1939","missionary",0.259,0.321,"Right","South",35,29,0.828571428571429,66,76,11,"0.909090909090909","0.888888888888889","0.733333333333333","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X"
"27","Senate",10815,"NH","Republican","MURPHY, Maurice J., Jr.",1927,"2002","greatest",0.331,-0.13,"Center","North",29,24,0.827586206896552,87,87,1,"X","X","X","X","X","X","X","X","X","X","X","X","X","0.827586206896552","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X"
"28","House",1609,"NJ","Republican","CAVICCHIA, Peter Angelo",1879,"1967","missionary",0.272,-0.962,"Center","North",11,9,0.818181818181818,72,74,3,"0.818181818181818","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X"
"29","House",4526,"OH","Republican","HOLLISTER, John Baker",1890,"1979","lost",0.538,-0.382,"Right","Midwest",11,9,0.818181818181818,72,74,3,"0.818181818181818","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X"
"30","Senate",6815,"IA","Democrat","MURPHY, Richard Louis",1875,"1936","missionary",-0.143,0.443,"Center","Midwest",16,13,0.8125,73,74,2,"0.8125","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X"
"31","House",412,"MO","Republican","BANTA, Parke Monroe",1891,"1970","lost",0.594,0.188,"Right","Midwest",16,13,0.8125,80,80,1,"X","X","X","X","X","X","0.8125","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X"
"32","Senate",6629,"OK","Republican","MOORE, Edward Hall",1871,"1950","missionary",0.642,0.52,"Right","Southwest",52,42,0.807692307692308,78,80,3,"X","X","X","X","0.722222222222222","0.941176470588235","0.764705882352941","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X"
"33","House",5776,"NY","Republican","LORD, Bert",1869,"1939","missionary",0.418,-0.416,"Center","North",25,20,0.8,74,76,3,"0.888888888888889","0.818181818181818","0.6","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X"
"34","House",10261,"PA","Republican","WILSON, William Henry",1877,"1937","missionary",0.453,-0.755,"Center","North",10,8,0.8,74,74,1,"0.8","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X"
"35","Senate",2289,"NM","Republican","CUTTING, Bronson Murray",1888,"1935","lost",0.227,0.833,"Right","Southwest",10,8,0.8,70,74,5,"0.8","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X"
"36","House",7012,"MT","Democrat","O'CONNELL, Jerry Joseph",1909,"1956","greatest",-0.396,-0.918,"Left","Rockies",10,8,0.8,75,75,1,"X","0.8","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X"
