"","chamber","icpsr","state_abbrev","party_code","bioname","born","died","gen","nominate_dim1","nominate_dim2","wing","region","total_vote","iso_num","oppo_per","first_cong","last_cong","congress_num","74","75","76","77","78","79","80","81","82","83","84","85","86","87","88","89","90","91","92","93","94","95","96","97","98","99","100","101","102"
"281","Senate",1503,"WY","Republican","CAREY, Robert Davis",1878,"1937","missionary",0.418,0.025,"Right","Rockies",16,9,0.5625,71,74,4,"0.5625","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X"
"282","House",5946,"PA","Republican","MALONEY, Franklin John",1899,"1958","lost",0.376,-0.276,"Center","North",16,9,0.5625,80,80,1,"X","X","X","X","X","X","0.5625","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X"
"283","House",10299,"WI","Republican","WITHROW, Gardner Robert",1892,"1964","lost",0.034,-0.091,"Center","Midwest",112,63,0.5625,72,86,10,"X","X","X","X","X","X","X","0.545454545454545","0.416666666666667","0.583333333333333","0.533333333333333","0.482758620689655","0.666666666666667","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X"
"284","House",8284,"MO","Republican","SCHWABE, Max",1905,"1983","greatest",0.495,0.401,"Right","Midwest",57,32,0.56140350877193,78,80,3,"X","X","X","X","0.277777777777778","0.565217391304348","0.875","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X"
"285","House",15410,"OR","Democrat","DeFAZIO, Peter Anthony",1947,"X","boomer",-0.429,0.003,"Center","West",285,160,0.56140350877193,100,116,17,"X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","0.629139072847682","0.5","0.452380952380952"
"286","House",2700,"TX","Democrat","DOWDY, John Vernard",1912,"1995","greatest",0.086,0.996,"Right","Southwest",296,166,0.560810810810811,83,92,10,"X","X","X","X","X","X","X","X","X","0.615384615384615","0.533333333333333","0.52","0.65","0.634146341463415","0.555555555555556","0.591836734693878","0.575","0.439024390243902","0.52","X","X","X","X","X","X","X","X","X","X"
"287","House",700,"IA","Democrat","BIERMANN, Frederick Elliott",1884,"1968","lost",-0.126,0.412,"Center","Midwest",25,14,0.56,73,75,3,"0.4","0.8","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X"
"288","House",10523,"MO","Republican","HALL, Durward Gorham",1910,"2001","greatest",0.796,0.317,"Right","Midwest",261,146,0.559386973180077,87,92,6,"X","X","X","X","X","X","X","X","X","X","X","X","X","0.648648648648649","0.566666666666667","0.653846153846154","0.641025641025641","0.477272727272727","0.423728813559322","X","X","X","X","X","X","X","X","X","X"
"289","House",8318,"KS","Republican","SCRIVNER, Errett Power",1898,"1978","lost",0.487,-0.124,"Center","Midwest",124,69,0.556451612903226,78,85,8,"X","X","X","X","0.666666666666667","0.56","0.5","0.666666666666667","0.636363636363636","0.583333333333333","0.416666666666667","0.518518518518518","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X"
"290","Senate",1365,"VA","Democrat","BYRD, Harry Flood",1887,"1966","lost",0.188,0.564,"Right","South",527,293,0.555977229601518,73,89,17,"0.25","0.25","0.25","0.238095238095238","0.4","0.333333333333333","0.529411764705882","0.625","0.25","0.75","0.509803921568627","0.75","0.702127659574468","0.677966101694915","0.836065573770492","0.82051282051282","X","X","X","X","X","X","X","X","X","X","X","X","X"
"291","House",7138,"IL","Republican","OWENS, Thomas Leonard",1897,"1948","lost",0.574,-0.819,"Right","Midwest",9,5,0.555555555555556,80,80,1,"X","X","X","X","X","X","0.555555555555556","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X"
"292","Senate",14104,"CO","Democrat","HASKELL, Floyd Kirk",1916,"1998","greatest",-0.465,0.416,"Center","Rockies",254,141,0.55511811023622,93,95,3,"X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","0.616822429906542","0.534090909090909","0.474576271186441","X","X","X","X","X","X","X"
"293","House",14470,"NY","Democrat","GARCIA, Robert",1933,"X","silent",-0.559,-0.349,"Left","North",726,402,0.553719008264463,95,101,7,"X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","0.467532467532468","0.391666666666667","0.6","0.558139534883721","0.704761904761905","0.567567567567568","0.615384615384615","X"
"294","Senate",1194,"DE","Republican","BUCK, Clayton Douglass",1890,"1965","lost",0.373,-0.156,"Center","South",47,26,0.553191489361702,78,80,3,"X","X","X","X","0.764705882352941","0.571428571428571","0.3125","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X"
"295","House",1254,"ND","Republican","BURDICK, Usher Lloyd",1879,"1960","missionary",-0.048,-0.121,"Left","Midwest",170,94,0.552941176470588,74,85,10,"0.666666666666667","0.818181818181818","0.645161290322581","0.529411764705882","0.133333333333333","X","X","0.555555555555556","0.5","0.5","0.533333333333333","0.619047619047619","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X"
"296","House",9338,"MI","Republican","THOMPSON, Ruth",1887,"1970","lost",0.474,-0.095,"Center","Midwest",38,21,0.552631578947368,82,84,3,"X","X","X","X","X","X","X","X","0.5","0.666666666666667","0.5","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X"
"297","House",9113,"OH","Democrat","SWEENEY, Martin Leonard",1885,"1960","lost",-0.375,-0.927,"Left","Midwest",67,37,0.552238805970149,72,77,6,"0.285714285714286","0.5","0.68","0.517241379310345","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X"
"298","House",3529,"TX","Democrat","GENTRY, Brady Preston",1896,"1966","lost",0.234,0.972,"Right","Southwest",29,16,0.551724137931034,83,84,2,"X","X","X","X","X","X","X","X","X","0.571428571428571","0.533333333333333","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X"
"299","House",1367,"IL","Republican","BYRNE, Emmet Francis",1896,"1974","lost",0.325,-0.017,"Center","Midwest",29,16,0.551724137931034,85,85,1,"X","X","X","X","X","X","X","X","X","X","X","0.551724137931034","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X"
"300","House",15228,"KY","Democrat","PERKINS, Carl Christopher",1954,"X","boomer",-0.56,0.793,"Left","South",410,226,0.551219512195122,99,102,4,"X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","0.640350877192982","0.582278481012658","0.484210526315789","0.348837209302326"
"301","House",1215,"ID","Republican","BUDGE, Hamer Harold",1910,"2003","greatest",0.458,0.167,"Right","Rockies",89,49,0.550561797752809,82,86,5,"X","X","X","X","X","X","X","X","0.5","0.615384615384615","0.466666666666667","0.586206896551724","0.55","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X"
"302","House",5349,"MI","Republican","KNOX, Victor Alfred",1899,"1976","lost",0.257,0.016,"Right","Midwest",142,78,0.549295774647887,83,88,6,"X","X","X","X","X","X","X","X","X","0.461538461538462","0.5","0.535714285714286","0.65","0.51219512195122","0.607142857142857","X","X","X","X","X","X","X","X","X","X","X","X","X","X"
"303","House",2234,"NY","Republican","CULKIN, Francis Dugan",1874,"1943","missionary",0.318,-0.026,"Center","North",82,45,0.548780487804878,70,78,9,"1","0.8","0.620689655172414","0.333333333333333","0","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X"
"304","House",4928,"IA","Republican","JENSEN, Benton Franklin",1892,"1970","lost",0.386,0.238,"Right","Midwest",290,159,0.548275862068966,76,88,13,"X","X","0.666666666666667","0.485714285714286","0.222222222222222","0.590909090909091","0.5","0.583333333333333","0.583333333333333","0.461538461538462","0.5","0.6","0.6","0.547619047619048","0.633333333333333","X","X","X","X","X","X","X","X","X","X","X","X","X","X"
"305","House",14463,"NY","Democrat","WEISS, Theodore S.",1927,"1992","greatest",-0.564,-0.71,"Left","North",958,525,0.548016701461378,95,102,8,"X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","0.521212121212121","0.406666666666667","0.588785046728972","0.573529411764706","0.719298245614035","0.611464968152866","0.5","0.351351351351351"
"306","House",4983,"IN","Republican","JOHNSON, Noble Jacob",1887,"1968","lost",0.323,-0.109,"Center","Midwest",115,63,0.547826086956522,69,80,8,"X","X","0.78125","0.483870967741935","0.222222222222222","0.368421052631579","0.8","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X"
"307","Senate",3349,"DE","Democrat","FREAR, Joseph Allen, Jr.",1903,"1993","greatest",0.034,0.477,"Right","South",199,109,0.547738693467337,81,86,6,"X","X","X","X","X","X","X","0.407407407407407","0.25","0.631578947368421","0.490196078431373","0.710526315789474","0.625","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X"
"308","House",14051,"CO","Democrat","SCHROEDER, Patricia Scott",1940,"X","silent",-0.225,-0.974,"Left","Rockies",1125,616,0.547555555555556,93,104,12,"X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","0.542168674698795","0.426966292134831","0.551515151515152","0.468965517241379","0.62962962962963","0.6","0.710526315789474","0.56687898089172","0.5","0.311111111111111"
"309","House",8941,"DE","Republican","STEWART, John George",1890,"1970","lost",0.353,-0.707,"Center","South",11,6,0.545454545454545,74,74,1,"0.545454545454545","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X"
"310","House",1526,"KS","Democrat","CARPENTER, William Randolph",1894,"1956","lost",0.071,0.696,"Right","Midwest",11,6,0.545454545454545,73,74,2,"0.545454545454545","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X"
"311","House",5384,"MN","Independent","KVALE, Paul John",1896,"1960","lost",-0.179,-0.29,"Left","Midwest",22,12,0.545454545454545,71,75,5,"0.333333333333333","1","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X"
"312","House",4282,"IL","Republican","HEIDINGER, James Vandaveer",1882,"1945","missionary",0.694,-0.232,"Right","Midwest",55,30,0.545454545454545,77,79,3,"X","X","X","0.526315789473684","0.533333333333333","1","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X"
"313","House",1324,"IL","Republican","BUSBEY, Fred Ernst",1895,"1966","lost",0.509,-0.239,"Right","Midwest",55,30,0.545454545454545,78,83,4,"X","X","X","X","0.352941176470588","X","0.625","X","0.636363636363636","0.636363636363636","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X"
"314","House",10570,"TN","Republican","BAKER, Irene Bailey",1901,"1994","greatest",0.256,0.183,"Right","South",11,6,0.545454545454545,88,88,1,"X","X","X","X","X","X","X","X","X","X","X","X","X","X","0.545454545454545","X","X","X","X","X","X","X","X","X","X","X","X","X","X"
"315","House",14271,"IL","Democrat","RUSSO, Martin Anthony",1944,"X","silent",-0.192,-0.209,"Left","Midwest",1017,554,0.544739429695182,94,102,9,"X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","0.367816091954023","0.524137931034483","0.524822695035461","0.532710280373832","0.568181818181818","0.701754385964912","0.601307189542484","0.526315789473684","0.418604651162791"
"316","House",15044,"WI","Democrat","MOODY, Jim",1935,"X","silent",-0.347,-0.566,"Left","Midwest",529,288,0.544423440453686,98,102,5,"X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","0.541984732824427","0.690265486725664","0.598684210526316","0.41304347826087","0.24390243902439"
"317","Senate",11203,"OR","Republican","HATFIELD, Mark Odom",1922,"2011","greatest",0.056,-0.773,"Center","West",1320,718,0.543939393939394,90,104,15,"X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","0.364705882352941","0.581395348837209","0.625","0.692982456140351","0.543478260869565","0.57","0.471910112359551","0.475728155339806","0.609195402298851","0.565891472868217","0.570247933884298","0.468468468468468","0.417910447761194"
"318","House",8155,"MN","Democrat","RYAN, Elmer James",1907,"1958","greatest",-0.135,-0.073,"Left","Midwest",46,25,0.543478260869565,74,76,3,"0.8","0.666666666666667","0.433333333333333","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X"
"319","Senate",8270,"KS","Republican","SCHOEPPEL, Andrew Frank",1894,"1962","lost",0.377,0.012,"Right","Midwest",219,119,0.54337899543379,81,87,7,"X","X","X","X","X","X","X","0.56","0.764705882352941","0.733333333333333","0.395833333333333","0.473684210526316","0.5","0.6875","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X"
"320","House",15023,"IL","Democrat","EVANS, Lane Allen",1951,"2014","boomer",-0.454,-0.181,"Left","Midwest",543,295,0.543278084714549,98,109,12,"X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","0.57037037037037","0.651785714285714","0.579617834394904","0.457446808510638","0.244444444444444"
"321","House",1897,"NE","Democrat","COFFEE, Harry Buffington",1890,"1972","lost",0.101,0.709,"Right","Midwest",96,52,0.541666666666667,74,77,4,"0.533333333333333","0.636363636363636","0.53125","0.526315789473684","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X"
"322","House",3221,"OH","Democrat","FLETCHER, Thomas Brooks",1879,"1945","missionary",-0.048,0.516,"Right","Midwest",24,13,0.541666666666667,69,75,5,"0.533333333333333","0.555555555555556","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X"
"323","House",8263,"WV","Republican","SCHIFFLER, Andrew Charles",1889,"1970","lost",0.231,-0.973,"Center","South",48,26,0.541666666666667,76,78,2,"X","X","0.709677419354839","X","0.235294117647059","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X"
"324","House",1928,"MO","Republican","COLE, William Clay",1897,"1965","lost",0.416,-0.101,"Center","Midwest",72,39,0.541666666666667,78,83,4,"X","X","X","X","0.35","0.521739130434783","0.8","X","X","0.571428571428571","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X"
"325","House",1161,"PA","Republican","BRUMBAUGH, David Emmert",1894,"1977","lost",0.382,-0.362,"Center","North",24,13,0.541666666666667,78,79,2,"X","X","X","X","0.5","0.5625","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X"
"326","House",270,"SC","Democrat","ASHMORE, Robert Thomas",1904,"1989","greatest",0.066,0.998,"Right","South",229,124,0.541484716157205,83,90,8,"X","X","X","X","X","X","X","X","X","0.538461538461538","0.428571428571429","0.464285714285714","0.619047619047619","0.511627906976744","0.48","0.591836734693878","0.611111111111111","X","X","X","X","X","X","X","X","X","X","X","X"
"327","Senate",1024,"OH","Republican","BRICKER, John William",1893,"1986","lost",0.528,-0.247,"Right","Midwest",157,85,0.54140127388535,80,85,6,"X","X","X","X","X","X","0.368421052631579","0.703703703703704","0.666666666666667","0.764705882352941","0.444444444444444","0.470588235294118","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X"
"328","House",5101,"WI","Democrat","KASTENMEIER, Robert William",1924,"2015","greatest",-0.514,-0.452,"Left","Midwest",1393,754,0.541277817659727,86,101,16,"X","X","X","X","X","X","X","X","X","X","X","X","0.0952380952380952","0.0465116279069767","0.0645161290322581","0.122448979591837","0.24390243902439","0.577777777777778","0.683333333333333","0.568181818181818","0.561797752808989","0.529761904761905","0.5","0.684684684684685","0.641791044776119","0.701754385964912","0.664556962025316","0.591397849462366","X"
"329","House",14216,"MA","Democrat","EARLY, Joseph Daniel",1933,"2012","silent",-0.254,-0.409,"Left","North",978,529,0.540899795501023,94,102,9,"X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","0.409090909090909","0.490909090909091","0.544117647058823","0.5","0.637096774193548","0.654205607476635","0.583941605839416","0.505882352941176","0.454545454545455"
"330","House",1000,"OH","Republican","BREHM, Walter Ellsworth",1892,"1971","lost",0.344,-0.267,"Center","Midwest",74,40,0.540540540540541,78,82,5,"X","X","X","X","0.411764705882353","0.571428571428571","0.5625","0.545454545454545","0.666666666666667","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X"
"331","House",3580,"IA","Republican","GILCHRIST, Fred Cramer",1868,"1950","missionary",0.224,0.305,"Right","Midwest",100,54,0.54,72,78,7,"0.642857142857143","1","0.6875","0.4","0.1875","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X"
"332","House",6570,"TN","Democrat","MITCHELL, John Ridley",1877,"1962","missionary",0,1,"Right","South",26,14,0.538461538461538,72,75,4,"0.666666666666667","0.363636363636364","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X"
"333","Senate",9456,"FL","Democrat","TRAMMELL, Park",1876,"1936","missionary",-0.278,0.114,"Center","South",13,7,0.538461538461538,65,74,10,"0.538461538461538","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X"
"334","House",8290,"PA","Republican","SCOBLICK, James Paul",1909,"1981","greatest",0.262,-0.965,"Center","North",13,7,0.538461538461538,80,80,1,"X","X","X","X","X","X","0.538461538461538","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X"
"335","House",11049,"OK","Republican","SMITH, James Vernon",1926,"1973","greatest",0.218,0.385,"Right","Southwest",39,21,0.538461538461538,90,90,1,"X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","0.538461538461538","X","X","X","X","X","X","X","X","X","X","X","X"
"336","House",14824,"MA","Democrat","FRANK, Barney",1940,"X","silent",-0.499,-0.534,"Left","North",639,344,0.538341158059468,97,112,16,"X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","0.475728155339806","0.555555555555556","0.675438596491228","0.609271523178808","0.434782608695652","0.25"
"337","House",158,"MN","Republican","ANDERSEN, Herman Carl",1897,"1978","lost",0.294,0.107,"Right","Midwest",262,141,0.538167938931298,76,87,12,"X","X","0.8125","0.555555555555556","0.2","0.571428571428571","0.3125","0.692307692307692","0.416666666666667","0.538461538461538","0.571428571428571","0.64","0.555555555555556","0.452380952380952","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X"
"338","House",3525,"WI","Independent","GEHRMANN, Bernard John",1880,"1958","missionary",-0.164,-0.802,"Left","Midwest",93,50,0.537634408602151,74,77,4,"0.6","0.909090909090909","0.633333333333333","0.324324324324324","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X"
"339","House",10311,"PA","Republican","WOLFENDEN, James",1889,"1949","lost",0.37,-0.556,"Center","North",121,65,0.537190082644628,70,79,10,"0.818181818181818","0.818181818181818","0.727272727272727","0.363636363636364","0.1875","0.470588235294118","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X"
"340","House",13035,"NY","Democrat","RANGEL, Charles B.",1930,"X","silent",-0.514,-0.341,"Left","North",1139,611,0.536435469710272,92,114,23,"X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","0.596153846153846","0.488095238095238","0.426966292134831","0.506756756756757","0.429577464788732","0.592592592592593","0.579365079365079","0.709090909090909","0.604166666666667","0.516483516483517","0.355555555555556"
"341","House",14263,"MN","Democrat","NOLAN, Richard Michael",1943,"X","silent",-0.372,-0.372,"Left","Midwest",334,179,0.535928143712575,94,115,6,"X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","0.482352941176471","0.624113475177305","0.462962962962963","X","X","X","X","X","X"
"342","House",5288,"PA","Republican","KINZER, John Roland",1874,"1955","missionary",0.414,-0.059,"Center","North",140,75,0.535714285714286,71,79,9,"0.666666666666667","0.818181818181818","0.727272727272727","0.41025641025641","0.222222222222222","0.5","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X"
"343","House",3851,"PA","Republican","GROSS, Chester  Heilman",1888,"1973","lost",0.463,-0.347,"Center","North",86,46,0.534883720930233,76,80,4,"X","X","0.741935483870968","X","0.1875","0.416666666666667","0.666666666666667","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X"
"344","House",188,"MN","Republican","ANDRESEN, August Herman",1890,"1958","lost",0.318,0.143,"Right","Midwest",202,108,0.534653465346535,69,85,16,"0.833333333333333","0.818181818181818","0.696969696969697","0.40625","0.166666666666667","0.6","0.5","0.666666666666667","0.5","0.416666666666667","0.266666666666667","0.727272727272727","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X"
"345","House",12009,"MO","Democrat","CLAY, William Lacy, Sr.",1931,"X","silent",-0.49,-0.872,"Left","Midwest",1044,558,0.53448275862069,91,106,16,"X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","0.655172413793103","0.543478260869565","0.439393939393939","0.354430379746835","0.52755905511811","0.430769230769231","0.569620253164557","0.580645161290323","0.693877551020408","0.595744680851064","0.574712643678161","0.394736842105263"
"346","House",6264,"CA","Democrat","McGROARTY, John Steven",1862,"1944","missionary",-0.111,0.026,"Center","West",15,8,0.533333333333333,74,75,2,"0.285714285714286","0.75","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X"
"347","House",7959,"ND","Republican","ROBERTSON, Charles Raymond",1889,"1951","lost",0.22,0.027,"Right","Midwest",62,33,0.532258064516129,77,80,3,"X","X","X","0.5","X","0.65","0.375","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X"
"348","House",14205,"IA","Democrat","BEDELL, Berkley Warren",1921,"X","greatest",-0.24,-0.595,"Left","Midwest",724,385,0.531767955801105,94,99,6,"X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","0.471910112359551","0.525974025974026","0.427586206896552","0.520833333333333","0.553846153846154","0.709090909090909","X","X","X"
"349","House",9494,"VA","Democrat","TUCK, William Munford",1896,"1983","lost",0.166,0.986,"Right","South",237,126,0.531645569620253,83,90,8,"X","X","X","X","X","X","X","X","X","0.416666666666667","0.5","0.464285714285714","0.619047619047619","0.463414634146341","0.535714285714286","0.568627450980392","0.595238095238095","X","X","X","X","X","X","X","X","X","X","X","X"
"350","House",6823,"WI","Republican","MURRAY, Reid Fred",1887,"1952","lost",0.308,-0.4,"Center","Midwest",143,76,0.531468531468531,76,82,7,"X","X","0.848484848484849","0.5","0.15","0.36","0.5625","0.75","0.333333333333333","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X"
"351","House",15431,"GA","Democrat","LEWIS, John R.",1940,"X","silent",-0.589,-0.221,"Left","South",292,155,0.530821917808219,100,116,17,"X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","0.592356687898089","0.515789473684211","0.325"
"352","House",2612,"PA","Republican","DITTER, John William",1888,"1943","lost",0.39,-0.516,"Center","North",98,52,0.530612244897959,73,78,6,"0.666666666666667","0.727272727272727","0.636363636363636","0.4","0.142857142857143","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X"
"353","House",10763,"CA","Republican","REINECKE, Edwin",1924,"X","greatest",0.234,-0.004,"Center","West",83,44,0.530120481927711,89,91,3,"X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","0.534883720930233","0.525","X","X","X","X","X","X","X","X","X","X","X","X"
"354","House",14076,"CA","Democrat","BURTON, John Lowell",1932,"X","silent",-0.413,-0.783,"Left","West",421,223,0.529691211401425,93,97,5,"X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","0.448275862068966","0.409090909090909","0.618705035971223","0.469565217391304","0.68","X","X","X","X","X"
"355","House",4944,"IL","Republican","JOHNSON, Calvin Dean",1898,"1985","lost",0.498,-0.409,"Center","Midwest",17,9,0.529411764705882,78,78,1,"X","X","X","X","0.529411764705882","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X"
"356","House",10759,"GA","Democrat","O'NEAL, Maston Emmett, Jr.",1907,"1990","greatest",0.023,1,"Right","South",123,65,0.528455284552846,89,91,3,"X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","0.541666666666667","0.575","0.457142857142857","X","X","X","X","X","X","X","X","X","X","X"
"357","House",10503,"MT","Republican","BATTIN, James Franklin",1925,"1996","greatest",0.235,0.138,"Right","Rockies",159,84,0.528301886792453,87,91,5,"X","X","X","X","X","X","X","X","X","X","X","X","X","0.575","0.464285714285714","0.538461538461538","0.512820512820513","X","X","X","X","X","X","X","X","X","X","X","X"
"358","House",14025,"CO","Republican","JOHNSON, James Paul (Jim)",1930,"X","silent",0.162,-0.249,"Center","Rockies",432,228,0.527777777777778,93,96,4,"X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","0.507042253521127","0.528735632183908","0.530201342281879","0.536","X","X","X","X","X","X"
"359","House",14011,"AZ","Republican","CONLAN, John Bertrand",1930,"X","silent",0.531,0.026,"Right","Southwest",146,77,0.527397260273973,93,94,2,"X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","0.571428571428571","0.467741935483871","X","X","X","X","X","X","X","X"
"360","House",1204,"MN","Independent","BUCKLER, Richard Thompson",1865,"1950","missionary",-0.268,-0.593,"Left","Midwest",74,39,0.527027027027027,74,77,4,"0.733333333333333","1","0.387096774193548","0.294117647058824","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X"
"361","Senate",12104,"MO","Democrat","EAGLETON, Thomas Francis",1929,"2007","silent",-0.38,0.209,"Center","Midwest",871,459,0.526980482204363,91,99,9,"X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","0.444444444444444","0.584070796460177","0.610169491525424","0.413333333333333","0.428571428571429","0.379310344827586","0.65625","0.604651162790698","0.540322580645161","X","X","X"
"362","House",15021,"IL","Democrat","DURBIN, Richard Joseph",1944,"X","silent",-0.352,-0.329,"Left","Midwest",543,286,0.52670349907919,98,116,19,"X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","0.529411764705882","0.62280701754386","0.564102564102564","0.446808510638298","0.302325581395349"
"363","House",14068,"IL","Democrat","COLLINS, Cardiss",1931,"2013","silent",-0.552,-0.218,"Left","Midwest",984,518,0.526422764227642,93,104,12,"X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","0.405797101449275","0.282051282051282","0.503875968992248","0.365853658536585","0.576923076923077","0.642857142857143","0.716981132075472","0.611842105263158","0.545454545454545","0.428571428571429"
"364","House",7376,"IN","Democrat","PETTENGILL, Samuel Barrett",1886,"1974","lost",0.022,0.33,"Right","Midwest",19,10,0.526315789473684,72,75,4,"0.583333333333333","0.428571428571429","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X"
"365","House",3831,"OH","Republican","GRIFFITHS, Percy Wilfred",1893,"1983","lost",0.449,-0.153,"Center","Midwest",57,30,0.526315789473684,78,80,3,"X","X","X","X","0.529411764705882","0.458333333333333","0.625","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X"
